,Symbol
8,AAPL
10,ABCB
68,ADBE
87,ADTN
99,AEHR
101,AEIS
149,AHPI
159,AKAM
185,ALKS
192,ALOT
197,ALSK
207,ALXN
214,AMAT
220,AMGN
221,AMHC
224,AMKR
234,AMSC
242,AMWD
244,AMZN
261,ANSS
315,ARLP
340,ASML
352,ASTE
367,ATLC
391,AUDC
411,AVID
419,AWRE
427,AXTI
433,AZPN
437,BANF
444,BBBY
451,BBSI
465,BCRX
554,BMRN
596,BRKS
617,BSQR
656,CACC
660,CAKE
663,CALM
665,CAMP
678,CASH
681,CASY
694,CBRL
731,CENT
733,CENX
737,CERN
738,CERS
771,CGNX
785,CHKP
794,CHRW
842,CLWT
845,CMCO
864,CNBKA
889,COKE
890,COLB
895,COLM
921,CPRT
925,CPSS
930,CRAI
934,CREE
936,CRESY
957,CRUS
965,CSCO
967,CSGP
968,CSGS
969,CSII
972,CSPI
986,CTAS
989,CTHR
990,CTIB
991,CTIC
997,CTSH
1001,CTXS
1023,CWST
1028,CYBE
1042,DAIO
1043,DAKT
1081,DGICB
1082,DGII
1105,DISH
1115,DLTR
1142,DSPG
1143,DSWL
1176,EBAY
1189,EDAP
1198,EEFT
1202,EGAN
1218,ELTK
1222,EMKR
1247,EPAY
1305,EVOL
1318,EXTR
1326,EZPW
1331,FARO
1332,FAST
1342,FBNC
1353,FCFS
1370,FFIV
1387,FISI
1388,FISV
1402,FLEX
1411,FLWS
1430,FONR
1437,FORR
1439,FOSL
1531,GAIA
1574,GERN
1593,GIFI
1598,GIII
1602,GILD
1704,GSBC
1782,HCSG
1801,HIBB
1814,HLIT
1835,HOLX
1855,HSIC
1856,HSII
1857,HSKA
1868,HTLD
1873,HUBG
1909,ICCC
1914,ICLR
1918,ICUI
1922,IDN
1924,IDXX
1949,IIVI
1962,IMGN
1963,IMKTA
1965,IMMR
1996,INOD
2004,INTU
2030,IRIX
2037,ISIG
2040,ISNS
2058,ITRI
2062,IVAC
2066,JAKK
2072,JBSS
2076,JCOM
2083,JJSF
2084,JKHY
2131,KFRC
2143,KLAC
2158,KOPN
2181,KTCC
2188,KVHI
2200,LAKE
2201,LAMR
2203,LAND
2236,LCUT
2298,LJPC
2321,LNDC
2329,LOGI
2340,LPTH
2344,LRCX
2351,LSTR
2381,LYTS
2393,MAGS
2394,MANH
2404,MATW
2421,MBWM
2430,MCHP
2435,MCRI
2468,MGIC
2473,MGRC
2483,MIND
2492,MKSI
2511,MNRO
2543,MRCY
2552,MRTN
2562,MSFT
2564,MSON
2565,MSTR
2579,MTRX
2581,MTSL
2587,MVIS
2588,MXIM
2590,MYGN
2602,NATH
2603,NATI
2607,NBIX
2635,NEOG
2684,NNBR
2703,NSIT
2708,NTAP
2709,NTCT
2729,NVDA
2746,NWPX
2761,OBAS
2783,ODFL
2792,OFIX
2850,ORLY
2856,OSIS
2867,OTEX
2893,PAA
2923,PAYX
2941,PCTI
2949,PDCO
2957,PEGA
2958,PENN
2966,PFBI
2979,PFSW
3006,PLAB
3010,PLCE
3021,PLUG
3022,PLUS
3043,POOL
3046,POWI
3067,PRFT
3069,PRGS
3073,PROG
3107,PTEN
3121,PTSI
3142,PZZA
3145,QCOM
3169,QUIK
3189,RBCAA
3198,RCII
3200,RCKY
3207,RDCM
3215,RDWR
3220,REG
3222,REGN
3226,RELL
3238,RGEN
3244,RICK
3265,RMBS
3276,RMTI
3281,RNWK
3286,ROCK
3294,ROST
3328,RYAAY
3333,SAFM
3341,SALM
3344,SANM
3349,SBAC
3356,SBGI
3365,SBUX
3369,SCHL
3370,SCHN
3387,SCVL
3396,SEAC
3402,SEIC
3426,SGMA
3443,SHOO
3469,SKYW
3481,SLGN
3500,SMSI
3515,SNPS
3543,SPNS
3564,SRCL
3565,SRDX
3594,SSYS
3601,STFC
3605,STLD
3606,STMP
3610,STRA
3665,SYKE
3675,TACT
3676,TAIT
3738,TESS
3808,TRIB
3816,TRMB
3821,TROW
3833,TSCO
3834,TSEM
3847,TTEC
3848,TTEK
3853,TTWO
3895,UEIC
3898,UFPI
3899,UFPT
3906,ULBI
3922,URBN
3925,USAK
3926,USAP
3934,UTHR
3946,VALU
3962,VECO
4007,VIVO
4049,VRSN
4051,VRTX
4053,VSAT
4092,WDFC
4094,WERN
4110,WIRE
4117,WLFC
4127,WRLD
4161,XLNX
4167,XOMA
4177,XRAY
4197,ZBRA
4200,ZEUS
